data,UserID,product,quantity,price
2024-04-11,929,Чермондер синий,8,1858
2024-12-24,352,Пахлава,5,1937
2024-03-21,949,Хаги ваги,10,28931
2024-10-07,814,Хаги ваги,10,83282
2024-10-06,182,Дросель на приору,2,12803
2024-11-12,698,Дросель на приору,7,89196
2024-11-20,567,Гранат,1,62028
2024-10-23,662,Че попальная вещь,3,24445
2024-05-28,929,Гранат,1,98664
2024-07-06,911,очиститель белого,10,386
2024-10-12,946,Кукла венсдей,3,62756
2024-06-20,342,Чермондер синий,6,96966
2024-02-26,606,Плакат Луффи,9,28662
2024-10-08,711,Дросель на приору,5,60832
2024-03-08,413,Кукла венсдей,6,64896
2024-08-24,784,Радитор печки,5,41362
2024-03-13,185,Пахлава,6,69413
2024-11-13,262,Ккус-Кус,5,1451
2024-03-25,685,Кукла венсдей,7,8208
2024-09-21,409,Кукла венсдей,9,73228
2024-01-09,87,Чермондер синий,5,39249
2024-12-19,600,Гранат,7,28132
2024-03-24,416,Арбуз,4,29919
2024-03-01,85,Редис,9,3801
2024-07-19,866,Плакат Луффи,9,75793
2024-12-27,537,Цинкарь,5,39713
2024-04-03,518,Дросель на приору,10,70529
2024-03-02,582,Цинкарь,1,62398
2024-01-05,429,Арбуз,5,54173
2024-10-09,390,Радитор печки,7,61738
2024-12-16,353,Дросель на приору,8,85844
2024-07-09,834,Гранат,6,89033
2024-01-23,743,Кукуруза,8,19498
2024-12-07,518,очиститель белого,1,27744
2024-07-27,251,Дросель на приору,1,19615
2024-08-08,130,Редис,9,41159
2024-07-14,214,Радитор печки,6,38793
2024-12-19,289,Че попальная вещь,3,82071
2024-08-11,934,Пахлава,1,10811
2024-11-11,577,очиститель белого,8,80097
2024-08-26,838,Радитор печки,1,65786
2024-04-16,725,Гранат,1,50274
2024-08-27,317,Хаги ваги,3,51759
2024-02-09,79,Че попальная вещь,3,59399
2024-09-03,963,Редис,9,94809
2024-01-15,889,Че попальная вещь,10,45185
2024-02-19,515,Кукуруза,1,31158
2024-08-27,902,Цинкарь,10,64785
2024-09-19,823,Арбуз,8,44016
2024-06-02,794,Пахлава,5,89172
2024-05-22,2,Ккус-Кус,7,90991
2024-11-27,858,Радитор печки,10,93226
2024-05-16,376,очиститель белого,8,38991
2024-12-26,158,Чермондер синий,10,67485
2024-05-15,788,Персик,8,41234
2024-09-09,947,Редис,2,16467
2024-08-21,867,Редис,3,1478
2024-02-21,315,Радитор печки,5,34279
2024-09-17,898,Редис,9,80569
2024-07-11,868,Кукла венсдей,7,13972
2024-12-23,390,Че попальная вещь,8,36108
2024-11-17,218,очиститель белого,8,91488
2024-11-28,101,Гранат,4,37863
2024-02-15,385,Чермондер синий,5,31319
2024-02-24,546,Хаги ваги,9,49768
2024-08-18,19,Кукла венсдей,8,75617
2024-07-27,885,Кукуруза,9,63799
2024-09-18,813,Редис,9,47162
2024-03-23,867,Дросель на приору,6,32661
2024-08-11,965,Хаги ваги,7,38851
2024-07-05,324,Ананас,2,63331
2024-01-03,538,Персик,10,97159
2024-11-23,209,Ккус-Кус,1,62212
2024-05-10,379,Кукла венсдей,1,56863
2024-01-02,435,Персик,6,63975
2024-01-13,491,Ккус-Кус,3,40418
2024-11-23,575,Плакат Луффи,1,39904
2024-12-14,831,Дросель на приору,3,37038
2024-09-10,805,Редис,4,78178
2024-12-14,704,Гранат,10,47855
2024-06-18,868,Че попальная вещь,9,21779
2024-10-28,692,Арбуз,8,44053
2024-05-19,128,Цинкарь,2,71633
2024-10-03,589,Чермондер синий,9,10911
2024-04-23,525,Арбуз,2,26624
2024-03-02,115,Пахлава,9,98601
2024-12-01,199,Чермондер синий,1,90829
2024-01-08,352,Арбуз,7,37849
2024-07-25,620,Радитор печки,3,52290
2024-03-13,420,Кукла венсдей,8,57445
2024-01-07,634,Че попальная вещь,10,88311
2024-11-21,69,Арбуз,5,1464
2024-01-16,993,Кукла венсдей,1,83985
2024-02-24,794,Дросель на приору,10,17568
2024-12-09,511,Чермондер синий,9,89022
2024-12-22,966,Пахлава,4,58584
2024-09-22,169,Пахлава,8,58579
2024-09-07,582,Пахлава,1,75265
2024-03-18,438,Гранат,10,54871
2024-07-07,357,Арбуз,3,93271
2024-07-19,772,Хаги ваги,1,98880
2024-07-06,785,очиститель белого,3,8342
2024-09-28,793,Ккус-Кус,4,88334
2024-02-21,662,Арбуз,8,18722
2024-03-11,530,Дросель на приору,6,76344
2024-04-05,523,Хаги ваги,5,73638
2024-01-03,567,Кукуруза,8,16525
2024-01-26,646,Пахлава,10,64814
2024-01-24,675,Радитор печки,10,34724
2024-05-12,407,Плакат Луффи,10,9851
2024-11-07,516,Кукла венсдей,9,15586
2024-02-05,912,Кукуруза,3,93743
2024-02-26,534,Радитор печки,7,74928
2024-02-13,62,Дросель на приору,9,71232
2024-10-01,720,Кукуруза,2,28810
2024-05-26,239,Че попальная вещь,6,39301
2024-05-11,422,Хаги ваги,2,8863
2024-01-23,595,Пахлава,1,88057
2024-10-11,720,очиститель белого,10,85095
2024-02-23,50,Арбуз,3,27359
2024-01-25,65,Дросель на приору,3,70955
2024-05-10,934,Плакат Луффи,1,56478
2024-05-18,279,Пахлава,5,49332
2024-02-14,541,Хаги ваги,4,36333
2024-09-05,859,очиститель белого,4,24872
2024-07-28,967,Персик,1,83851
2024-10-12,848,Плакат Луффи,5,41652
2024-02-20,655,Кукла венсдей,1,44507
2024-01-10,892,Че попальная вещь,5,82289
2024-02-21,816,Арбуз,10,14252
2024-03-19,863,Арбуз,6,45382
2024-01-26,126,Арбуз,7,65013
2024-08-11,701,Гранат,7,47281
2024-01-03,653,Кукуруза,10,93063
2024-09-15,188,Цинкарь,1,69183
2024-04-14,761,Чермондер синий,3,20062
2024-01-26,773,Редис,2,2099
2024-07-09,233,Плакат Луффи,3,34377
2024-11-04,685,Персик,8,44237
2024-03-25,333,Чермондер синий,5,77610
2024-08-07,108,Пахлава,4,419
2024-09-18,875,Дросель на приору,7,70122
2024-02-22,195,Хаги ваги,4,3009
2024-10-05,951,Кукла венсдей,9,30569
2024-04-11,363,Пахлава,10,79602
2024-03-21,335,Пахлава,9,35760
2024-01-25,947,Цинкарь,10,94465
2024-12-17,155,Ананас,6,56900
2024-09-27,402,Чермондер синий,1,63508
2024-12-04,290,Гранат,10,386
2024-11-19,517,Пахлава,8,13641
2024-12-20,40,Цинкарь,4,64006
2024-04-03,691,Ананас,3,74710
2024-08-17,330,Гранат,4,81283
2024-06-24,708,Арбуз,4,11560
2024-08-03,61,Ккус-Кус,10,49513
2024-10-17,412,Че попальная вещь,9,95278
2024-01-11,330,Пахлава,3,69331
2024-01-08,423,Персик,4,81205
2024-04-15,736,Пахлава,5,12371
